Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00342791825334722,0.0435557536573103,-0.0136969699950156,0,0,0,14.7168844279819,0.216094216977918,-2.15936637059159E-07,1.20856557783439E-06,0.278539633712961,-5.34430530061159E-05,0.0730010085266267,0,0,0,0,0,0,package://simple_v5/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_v5/meshes/base_link.STL,,零件20-1;轮固定-1;Odin1.stp-1;零件12-3;极简设备承接板（底盘上）-2;极简设备承接板（底盘上）-1;零件12-1;零件12-4;轮固定-4;零件18-1;相机三角支架B-1;相机支撑-1;相机三角支架-1;侧边相机固定支架-1;侧边相机固定支架-3;轮毂固定-3;轮毂固定-2;轮毂固定-4;轮毂固定-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
w1,9.91318433982147E-06,8.37358922123332E-06,0.0780641065720685,0,0,0,0.432839204473948,0.000254810906659782,6.4803290655366E-08,-6.66448946404272E-08,0.000254716886605214,-4.03592026086579E-08,0.000490322633066963,0,0,0,0,0,0,package://simple_v5/meshes/w1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_v5/meshes/w1.STL,,轮子-2;M3508底盘驱动-2,Origin_w1,w1,w1,continuous,0.152328939951822,0.103,0.134095970953207,1.57079632679489,-0.16843576907617,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w2,-3.20432711073404E-07,-1.29725007076142E-05,0.0780641066038903,0,0,0,0.432839204200384,0.000254693986362194,3.90123500200824E-08,1.40700359473036E-08,0.000254833806900407,7.66318556253006E-08,0.000490322633065786,0,0,0,0,0,0,package://simple_v5/meshes/w2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_v5/meshes/w2.STL,,轮子-4;M3508底盘驱动-3,Origin_w2,w2,w2,continuous,-0.145471060048178,0.103,0.134095970953207,1.57079632679489,0.16843576907617,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w3,3.22186376802702E-06,-1.25701161331482E-05,0.0780641065724569,0,0,0,0.432839204470938,0.000254683909187753,-3.37902874798302E-09,-7.31472956341223E-09,0.000254843884077263,7.75686918092966E-08,0.000490322633066998,0,0,0,0,0,0,package://simple_v5/meshes/w3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_v5/meshes/w3.STL,,轮子-3;M3508底盘驱动-4,Origin_w3,w3,w3,continuous,-0.145471060048178,0.102999999999999,-0.155904029046793,1.57079632679489,1.06806361303278,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w4,1.1817782403778E-05,5.35990214123316E-06,0.0780641066153226,0,0,0,0.432839204102094,0.000254837882755251,3.0585332856977E-08,-7.5112683815234E-08,0.000254689910506613,-2.07000468565932E-08,0.000490322633065432,0,0,0,0,0,0,package://simple_v5/meshes/w4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_v5/meshes/w4.STL,,轮子-1;M3508底盘驱动-1,Origin_w4,w4,w4,continuous,0.152328939951822,0.102999999999999,-0.155904029046793,1.57079632679489,-1.06806361303278,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
yuntai,-2.56377579641726E-07,-0.110169069602299,-0.0784992077231397,0,0,0,0.904884147270093,0.00311178538498172,4.7292512973693E-06,6.19240417083085E-07,0.0025251066654015,-2.23541087825991E-05,0.00263526415654357,0,0,0,0,0,0,package://simple_v5/meshes/yuntai.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_v5/meshes/yuntai.STL,,云台中央保护套-2;云台底座-1;轴承-1;轴承外固-1;云台架貳-2;云台架貳-1,Origin_yaw,yaw,yaw,fixed,-0.0738710600481814,-0.166,-0.0109040290468001,3.14159265358979,1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
pitch,-0.0772695318878126,0.0326598382404958,-0.0474066970277468,0,0,0,1.90241501200622,0.0021941081471964,3.19697219382067E-10,-3.42069944155667E-06,0.00512780545767912,2.60726514964611E-05,0.00325257938604102,0,0,0,0,0,0,package://simple_v5/meshes/pitch.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v5/meshes/pitch.STL,,海康相机-1;发射底板-1;海康相机保护打印件-1;上挡板-1;零件13-1;云台连接块-2;云台连接块-1;零件16-1;零件14-1;零件15-1,Origin_ph,pitch,ph,continuous,0,0.01,0,3.14050535389669,-1.5707963267949,0,yuntai,-1,0,0,0,0,0,0,,,,,,,,
leida,-6.70843705679936E-05,-0.00057140439551521,0.0183157980108806,0,0,0,0.224138920024067,9.82520762873099E-05,-2.15936637052778E-07,1.20856557780611E-06,0.000207409840614029,1.49309315522292E-07,0.000241137504421461,0,0,0,0,0,0,package://simple_v5/meshes/leida.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v5/meshes/leida.STL,,Odin1.stp-1,Origin_ld,Axis_ld,ld,fixed,0.00342893995182154,-0.0120000000000005,0.139095970953207,0,0,0,base_link,0,0,0,,,,,,,,,,,,
xj1,-5.55111512312578E-17,0.104709161171551,0.0201774320143985,0,0,0,0.0702201485513357,6.8924576094566E-05,-2.83961933506812E-21,-4.68761581030898E-21,5.78477761286451E-05,-2.3570616399551E-05,2.01494936410687E-05,0,0,0,0,0,0,package://simple_v5/meshes/xj1.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v5/meshes/xj1.STL,,海康相机-2,Origin_xj1,Axis_xj1,xj1,fixed,0.163428939951822,-0.0135000000000005,-0.0109040290467929,0,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
xj2,5.89805981832114E-17,0.104709161171551,0.0201774320143985,0,0,0,0.0702201485513357,6.8924576094566E-05,2.50233428139738E-21,5.78274655763536E-21,5.78477761286451E-05,-2.3570616399551E-05,2.01494936410687E-05,0,0,0,0,0,0,package://simple_v5/meshes/xj2.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v5/meshes/xj2.STL,,海康相机-4,Origin_xj2,Axis_xj2,xj2,fixed,-0.156571060048178,-0.0135000000000005,-0.0109040290467929,3.14159265358979,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
